식당명,카테고리,평점,리뷰수,지역,전화번호,위도,경도,고유ID
유용욱 바베큐 연구소,,,,,,,,WgsrWRcE8EOpoYVDzuBveA
IMOK Smoke Dining,,,,,,,,GJ-Ffyc0hHpuuZ9ho_JS6A
라망시크레,,,,,,,,VsD5rduELmS-Gh8gamV8Zw
Original Numbers 청담,,,,,,,,OyFrA7s3f89jANSiyNMtwg
앰배서더 서울 풀만 호빈,,,,,,,,LHkJtWrAKiexV14Xg9BWYQ
옥동식,,,,,,,,_NcRqXWyoFy65jz7LUPCUg
소울 SOUL ,,,,,,,,w0AwnVhMD3Oi0W1a8S_UjQ
SOIGNE,,,,,,,,QffKWP9IJqszVJUFLrGGLg
에그앤플라워 해방촌 본점,,,,,,,,GH-fb5s4R_O3VqK2Cu8qFw
수퍼판,,,,,,,,tGU0gYnQXODdNNWK031zpw
이타닉 가든,,,,,,,,yaGdSH6rp9yBcAMHm_p3qg
윤주당,,,,,,,,zYMnPGPrmHsobzoTdKCM7A
뜨라또리아 샘킴,,,,,,,,cCh4fnt-NSk26OSxfyvXKA
면서울,,,,,,,,OQJdBlM3J6Vuhd4bAWLsqA
오스테리아 샘킴,,,,,,,,lusukHjkqXiloXeg-EHqfQ
독도16도,,,,,,,,Qb1E8D2HjH-Us_-wsdkxvQ
옥동식 그릴 송파하남,,,,,,,,Hn_xbznMSqRAGv0qGqDV2g
BISTROT de YOUNTVILLE,,,,,,,,zyLDwR3vBm0V85je79tbGw
동경밥상 본점,,,,,,,,mlUutpcg6VCmg0sA9W23tQ
쌤쌤쌤,,,,,,,,9oqBNkgZxPmoRryndwJ8kA
