식당명,카테고리,평점,리뷰수,지역,전화번호,저녁가격,위도,경도,고유ID
유용욱 바베큐 연구소,바베큐,4.8,268,남영,01039934729,저녁 15만원,37.5439572,126.9727818,WgsrWRcE8EOpoYVDzuBveA
IMOK Smoke Dining,바베큐,4.8,1488,신사,01039934729,저녁 15-22만원,37.5211262,127.0191253,GJ-Ffyc0hHpuuZ9ho_JS6A
라망시크레,컨템포러리,4.8,2709,회현,050712835380,저녁 27만원,37.5596664,126.9795418,VsD5rduELmS-Gh8gamV8Zw
Original Numbers 청담,코스요리,4.8,466,청담,050720889255,저녁 13만원,37.5250958,127.0407378,OyFrA7s3f89jANSiyNMtwg
앰배서더 서울 풀만 호빈,중식,4.7,96,장충동,050712835474,"점심, 저녁 동일가 11-40만원",37.5605921,127.0020938,LHkJtWrAKiexV14Xg9BWYQ
옥동식,한식,4.5,3789,합정,010,,37.5526652,126.9145171,_NcRqXWyoFy65jz7LUPCUg
소울 SOUL ,컨템포러리,4.8,1428,해방촌,050712836062,저녁 27만원,37.5453932,126.9844401,w0AwnVhMD3Oi0W1a8S_UjQ
SOIGNE,컨템포러리,4.8,1632,신사,050700916128,저녁 38만원,37.5196035,127.0190762,QffKWP9IJqszVJUFLrGGLg
에그앤플라워 해방촌 본점,파스타,4.4,2678,해방촌,050712836224,,37.5453932,126.9844401,GH-fb5s4R_O3VqK2Cu8qFw
수퍼판,퓨전음식,4.6,1330,압구정,050700915556,저녁 11- 19만원,37.524445,127.0268549,tGU0gYnQXODdNNWK031zpw
이타닉 가든,코스요리,4.9,2652,역삼,050700917037,저녁 37만원,37.5028813,127.0413566,yaGdSH6rp9yBcAMHm_p3qg
윤주당,요리주점,4.7,68,해방촌,050702692929,,37.5453594,126.9859913,zYMnPGPrmHsobzoTdKCM7A
뜨라또리아 샘킴,이탈리아음식,4.6,1330,압구정로데오,050700916335,저녁 14.9-18.9만원,37.5238115,127.03769,cCh4fnt-NSk26OSxfyvXKA
면서울,한식,4.5,1219,압구정로데오,050700918131,,37.524135,127.038998,OQJdBlM3J6Vuhd4bAWLsqA
오스테리아 샘킴,이탈리아음식,4.4,1643,합정,050700915035,,37.5513453,126.9109068,lusukHjkqXiloXeg-EHqfQ
독도16도,한식,4.9,274,서촌,050700918979,저녁1-18만원,37.5794702,126.9685771,Qb1E8D2HjH-Us_-wsdkxvQ
옥동식 그릴 송파하남,한식,4.0,242,하남,024009915,,37.5077412,127.1431612,Hn_xbznMSqRAGv0qGqDV2g
BISTROT de YOUNTVILLE,프랑스음식,4.7,2892,청담,050712835721,저녁 13.5 - 16만원,37.5260438,127.0412382,zyLDwR3vBm0V85je79tbGw
동경밥상 본점,장어 요리,4.7,332,부산 광안리,050713201428,,35.1483966,129.113852,mlUutpcg6VCmg0sA9W23tQ
쌤쌤쌤,아메리칸음식,4.2,2708,삼각지,050712836866,,37.5315768,126.972159,9oqBNkgZxPmoRryndwJ8kA
