name,chief_info,rating,review_count,location_category,status_time,price,badge_info
앰배서더 서울 풀만 호빈,흑백요리사2: 후덕죽,4.7,(96),장충동 · 중식,영업중 • 11:30-22:00,"점심, 저녁 동일가 11-40만원","흑백요리사2: 후덕죽, 미쉐린 1스타, 흑백요리사2"
이타닉 가든,흑백요리사2: 손종원,4.9,"(2,652)",역삼 · 코스요리,영업중 • 12:00-22:00,점심 25만원 • 저녁 37만원,"흑백요리사2: 손종원, Taste of Seoul, 미쉐린 1스타, 흑백요리사2"
SOIGNE,흑백요리사2: 이준,4.8,"(1,632)",신사 · 컨템포러리,영업중 • 12:00-22:00,점심 24만원 • 저녁 38만원,"흑백요리사2: 이준, Taste of Seoul, 미쉐린 2스타, 흑백요리사2"
레스토랑 온 ON,흑백요리사2: 영블러드,4.9,(388),청담 · 프랑스음식,영업중 • 12:00-22:00,점심 저녁 동일가 10 - 25만원,"흑백요리사2: 영블러드, 미쉐린 가이드 2025"
라망시크레,흑백요리사2: 손종원,4.8,"(2,709)",회현 · 컨템포러리,영업중 • 12:00-22:00,점심 17만원 • 저녁 27만원,"흑백요리사2: 손종원, 미쉐린 1스타, 흑백요리사2"
소울 SOUL,흑백요리사2: 김희은,4.8,"(1,428)",해방촌 · 컨템포러리,오늘(수) 휴무,점심 17만원 • 저녁 27만원,"흑백요리사2: 김희은, 꽃 주문 서비스, 미쉐린 1스타, 흑백요리사2"
코자차 kojacha,흑백요리사2: 최유강,4.7,(402),청담 · 퓨전음식,영업중 • 12:00-22:00,점심 13.5만원 • 저녁 22.5만원,"흑백요리사2: 최유강, 미쉐린 가이드 2025, 흑백요리사2, 맛객리우 Youtube"
미가키,흑백요리사2: 사시미 검객,4.9,(331),청담 · 가이세키오마카세,영업중 • 12:00-22:00,점심 15만원 • 저녁 31만원,"흑백요리사2: 사시미 검객, 생활의 달인"
드레스덴 그린,흑백요리사2: 천생연분,4.6,(383),청담 · 코스요리,영업중 • 12:00-22:00,점심 17만원 • 저녁 27만원,"흑백요리사2: 천생연분, 꽃 주문 서비스, 흑백요리사2, 비밀이야 bimirya Youtube"
IMOK Smoke Dining,흑백요리사2: 바베큐연구소장,4.8,"(1,488)",신사 · 바베큐,영업중 • 12:00-21:00,점심 15-18만원 • 저녁 15-22만원,"흑백요리사2: 바베큐연구소장, 동네의 고수, Taste of Seoul, 흑백요리사2"
