식당명,카테고리,평점,리뷰수,지역,전화번호,저녁가격,위도,경도,고유ID
유용욱 바베큐 연구소,바베큐,4.8,268,남영,01039934729,저녁 15만원,37.5439572,126.9727818,WgsrWRcE8EOpoYVDzuBveA
IMOK Smoke Dining,바베큐,4.8,1488,신사,01039934729,저녁 15-22만원,37.5211262,127.0191253,GJ-Ffyc0hHpuuZ9ho_JS6A
라망시크레,컨템포러리,4.8,2709,회현,050712835380,저녁 27만원,37.5596664,126.9795418,VsD5rduELmS-Gh8gamV8Zw
Original Numbers 청담,코스요리,4.8,466,청담,050720889255,저녁 13만원,37.5250958,127.0407378,OyFrA7s3f89jANSiyNMtwg
앰배서더 서울 풀만 호빈,중식,4.7,96,장충동,050712835474,"점심, 저녁 동일가 11-40만원",37.5605921,127.0020938,LHkJtWrAKiexV14Xg9BWYQ
옥동식,한식,4.5,3789,합정,010,,37.5526652,126.9145171,_NcRqXWyoFy65jz7LUPCUg
소울 SOUL ,컨템포러리,4.8,1428,해방촌,050712836062,저녁 27만원,37.5453932,126.9844401,w0AwnVhMD3Oi0W1a8S_UjQ
SOIGNE,컨템포러리,4.8,1632,신사,050700916128,저녁 38만원,37.5196035,127.0190762,QffKWP9IJqszVJUFLrGGLg
에그앤플라워 해방촌 본점,파스타,4.4,2678,해방촌,050712836224,,37.5453932,126.9844401,GH-fb5s4R_O3VqK2Cu8qFw
수퍼판,퓨전음식,4.6,1330,압구정,050700915556,저녁 11- 19만원,37.524445,127.0268549,tGU0gYnQXODdNNWK031zpw
이타닉 가든,코스요리,4.9,2652,역삼,050700917037,저녁 37만원,37.5028813,127.0413566,yaGdSH6rp9yBcAMHm_p3qg
윤주당,요리주점,4.7,68,해방촌,050702692929,,37.5453594,126.9859913,zYMnPGPrmHsobzoTdKCM7A
뜨라또리아 샘킴,이탈리아음식,4.6,1330,압구정로데오,050700916335,저녁 14.9-18.9만원,37.5238115,127.03769,cCh4fnt-NSk26OSxfyvXKA
면서울,한식,4.5,1219,압구정로데오,050700918131,,37.524135,127.038998,OQJdBlM3J6Vuhd4bAWLsqA
오스테리아 샘킴,이탈리아음식,4.4,1643,합정,050700915035,,37.5513453,126.9109068,lusukHjkqXiloXeg-EHqfQ
독도16도,한식,4.9,274,서촌,050700918979,저녁1-18만원,37.5794702,126.9685771,Qb1E8D2HjH-Us_-wsdkxvQ
옥동식 그릴 송파하남,한식,4.0,242,하남,024009915,,37.5077412,127.1431612,Hn_xbznMSqRAGv0qGqDV2g
BISTROT de YOUNTVILLE,프랑스음식,4.7,2892,청담,050712835721,저녁 13.5 - 16만원,37.5260438,127.0412382,zyLDwR3vBm0V85je79tbGw
동경밥상 본점,장어 요리,4.7,332,부산 광안리,050713201428,,35.1483966,129.113852,mlUutpcg6VCmg0sA9W23tQ
쌤쌤쌤,아메리칸음식,4.2,2708,삼각지,050712836866,,37.5315768,126.972159,9oqBNkgZxPmoRryndwJ8kA
독립식당,한식,4.6,60,종로,01094087039,"점심, 저녁 동일가 3.5만원",37.5862234,126.969367,t4N_HB-1c7IYaq_O18p_IA
윤서울,한식,4.6,827,압구정로데오,050712835462,저녁 24만원,37.524135,127.038998,D8vP57nkI927vofs--E98w
도우룸 서래마을,파스타,4.5,1469,서래마을,025359386,,37.4938433,126.993367,kyUeMoQEU9v1Y8rvfVCXKA
계향각,중식,4.7,925,혜화,0236747770,,37.5820958,127.0043262,ASFnEH2k-4oL8l_s6tqH3w
드레스덴 그린,코스요리,4.6,383,청담,050700916553,저녁 27만원,37.5230216,127.0422013,5wp_gmPsghFY1cgL-Ce_BA
회현식당,일식,4.5,1685,회현,050700916264,,37.5570139,126.977707,QkbGLd99Lbkma9Lb_ezt6w
루드베키아,브런치,4.4,151,광화문,050713139386,,37.5721535,126.9778819,7DjnJacFWyaFqsZcxDaUow
회현카페,양식,4.5,101,회현,050720883814,,37.5570139,126.977707,kxBU_ftweEwytDHV_hgtHQ
도우룸 광화문,양식,4.5,764,광화문,027329386,,37.5721535,126.9778819,RIbRmp_EI9XLs1eQvVxjhw
크라운돼지,"육류,고기요리",4.5,24,신사,01095125701,,37.5185269,127.0204853,31wF-1TsEvXAULHQxX8lDg
콩두 명동,한식,4.7,678,명동,02-722-7002,저녁 7-13만원,37.5643559,126.9839826,hoaEx4SDjeafarhLsOZu4g
급이다른부대찌개,"찌개,전골",4.7,109,대전,050720889899,,36.3748804,127.320331,vdlFcV9pUCtsPyMRfOZxcg
이치에,이자카야,4.6,637,압구정로데오,050702692970,,37.5253741,127.0376944,3Zy6fzfNSdUHpJLWhIrG5g
테이블포포,코스요리,4.8,514,한남,050720881556,저녁 25만원,37.5346781,127.0052443,SfJeRjgGLZQ3GchIOiprQQ
