식당명,카테고리,평점,리뷰수,지역,전화번호,저녁가격,위도,경도,고유ID,URL_Alias,서비스유형,상세페이지_URL
유용욱 바베큐 연구소,바베큐,4.8,268,남영,01039934729,저녁 15만원,37.5439572,126.9727818,WgsrWRcE8EOpoYVDzuBveA,yyw,DINING,https://app.catchtable.co.kr/ct/shop/yyw?type=DINING
IMOK Smoke Dining,바베큐,4.8,1488,신사,01039934729,저녁 15-22만원,37.5211262,127.0191253,GJ-Ffyc0hHpuuZ9ho_JS6A,imok,DINING,https://app.catchtable.co.kr/ct/shop/imok?type=DINING
라망시크레,컨템포러리,4.8,2709,회현,050712835380,저녁 27만원,37.5596664,126.9795418,VsD5rduELmS-Gh8gamV8Zw,lamantsecret,DINING,https://app.catchtable.co.kr/ct/shop/lamantsecret?type=DINING
Original Numbers 청담,코스요리,4.8,468,청담,050720889255,저녁 13만원,37.5250958,127.0407378,OyFrA7s3f89jANSiyNMtwg,original_numbers,DINING,https://app.catchtable.co.kr/ct/shop/original_numbers?type=DINING
앰배서더 서울 풀만 호빈,중식,4.7,96,장충동,050712835474,"점심, 저녁 동일가 11-40만원",37.5605921,127.0020938,LHkJtWrAKiexV14Xg9BWYQ,theambassador_haobin,DINING,https://app.catchtable.co.kr/ct/shop/theambassador_haobin?type=DINING
옥동식,한식,4.5,3791,합정,010,,37.5526652,126.9145171,_NcRqXWyoFy65jz7LUPCUg,okdongsik,WAITING,https://app.catchtable.co.kr/ct/shop/okdongsik?type=WAITING
소울 SOUL ,컨템포러리,4.8,1428,해방촌,050712836062,저녁 27만원,37.5453932,126.9844401,w0AwnVhMD3Oi0W1a8S_UjQ,souldining,DINING,https://app.catchtable.co.kr/ct/shop/souldining?type=DINING
SOIGNE,컨템포러리,4.8,1633,신사,050700916128,저녁 38만원,37.5196035,127.0190762,QffKWP9IJqszVJUFLrGGLg,soigneseoul,DINING,https://app.catchtable.co.kr/ct/shop/soigneseoul?type=DINING
에그앤플라워 해방촌 본점,파스타,4.4,2680,해방촌,050712836224,,37.5453932,126.9844401,GH-fb5s4R_O3VqK2Cu8qFw,eggandflour,DINING,https://app.catchtable.co.kr/ct/shop/eggandflour?type=DINING
수퍼판,퓨전음식,4.6,1331,압구정,050700915556,저녁 11- 19만원,37.524445,127.0268549,tGU0gYnQXODdNNWK031zpw,superpan,DINING,https://app.catchtable.co.kr/ct/shop/superpan?type=DINING
이타닉 가든,코스요리,4.9,2653,역삼,050700917037,저녁 37만원,37.5028813,127.0413566,yaGdSH6rp9yBcAMHm_p3qg,eatanicgarden,DINING,https://app.catchtable.co.kr/ct/shop/eatanicgarden?type=DINING
윤주당,요리주점,4.7,68,해방촌,050702692929,,37.5453594,126.9859913,zYMnPGPrmHsobzoTdKCM7A,yunjudang_,DINING,https://app.catchtable.co.kr/ct/shop/yunjudang_?type=DINING
뜨라또리아 샘킴,이탈리아음식,4.6,1330,압구정로데오,050700916335,저녁 14.9-18.9만원,37.5238115,127.03769,cCh4fnt-NSk26OSxfyvXKA,trattoriasamkim,DINING,https://app.catchtable.co.kr/ct/shop/trattoriasamkim?type=DINING
면서울,한식,4.5,1220,압구정로데오,050700918131,,37.524135,127.038998,OQJdBlM3J6Vuhd4bAWLsqA,myeonseoul,WAITING,https://app.catchtable.co.kr/ct/shop/myeonseoul?type=WAITING
오스테리아 샘킴,이탈리아음식,4.4,1644,합정,050700915035,,37.5513453,126.9109068,lusukHjkqXiloXeg-EHqfQ,samkim,DINING,https://app.catchtable.co.kr/ct/shop/samkim?type=DINING
독도16도,한식,4.9,274,서촌,050700918979,저녁1-18만원,37.5794702,126.9685771,Qb1E8D2HjH-Us_-wsdkxvQ,dokdo.16.celsius,DINING,https://app.catchtable.co.kr/ct/shop/dokdo.16.celsius?type=DINING
옥동식 그릴 송파하남,한식,4.0,244,하남,024009915,,37.5077412,127.1431612,Hn_xbznMSqRAGv0qGqDV2g,okdongsiksongpa,WAITING,https://app.catchtable.co.kr/ct/shop/okdongsiksongpa?type=WAITING
BISTROT de YOUNTVILLE,프랑스음식,4.7,2894,청담,050712835721,저녁 13.5 - 16만원,37.5260438,127.0412382,zyLDwR3vBm0V85je79tbGw,yountville,DINING,https://app.catchtable.co.kr/ct/shop/yountville?type=DINING
동경밥상 본점,장어 요리,4.7,333,부산 광안리,050713201428,,35.1483966,129.113852,mlUutpcg6VCmg0sA9W23tQ,tokyotable,WAITING,https://app.catchtable.co.kr/ct/shop/tokyotable?type=WAITING
쌤쌤쌤,아메리칸음식,4.2,2708,삼각지,050712836866,,37.5315768,126.972159,9oqBNkgZxPmoRryndwJ8kA,samsamsam_kr,WAITING,https://app.catchtable.co.kr/ct/shop/samsamsam_kr?type=WAITING
독립식당,한식,4.6,60,종로,01094087039,"점심, 저녁 동일가 3.5만원",37.5862234,126.969367,t4N_HB-1c7IYaq_O18p_IA,dokrip_sikdang,DINING,https://app.catchtable.co.kr/ct/shop/dokrip_sikdang?type=DINING
윤서울,한식,4.6,828,압구정로데오,050712835462,저녁 24만원,37.524135,127.038998,D8vP57nkI927vofs--E98w,yunseoul,DINING,https://app.catchtable.co.kr/ct/shop/yunseoul?type=DINING
도우룸 서래마을,파스타,4.5,1470,서래마을,025359386,,37.4938433,126.993367,kyUeMoQEU9v1Y8rvfVCXKA,doroom_seoraevillage,DINING,https://app.catchtable.co.kr/ct/shop/doroom_seoraevillage?type=DINING
계향각,중식,4.7,925,혜화,0236747770,,37.5820958,127.0043262,ASFnEH2k-4oL8l_s6tqH3w,heestoryfood,DINING,https://app.catchtable.co.kr/ct/shop/heestoryfood?type=DINING
드레스덴 그린,코스요리,4.6,385,청담,050700916553,저녁 27만원,37.5230216,127.0422013,5wp_gmPsghFY1cgL-Ce_BA,dresden_,DINING,https://app.catchtable.co.kr/ct/shop/dresden_?type=DINING
회현식당,일식,4.5,1686,회현,050700916264,,37.5570139,126.977707,QkbGLd99Lbkma9Lb_ezt6w,hhsd,DINING,https://app.catchtable.co.kr/ct/shop/hhsd?type=DINING
루드베키아,브런치,4.4,151,광화문,050713139386,,37.5721535,126.9778819,7DjnJacFWyaFqsZcxDaUow,rudbeckia,DINING,https://app.catchtable.co.kr/ct/shop/rudbeckia?type=DINING
회현카페,양식,4.5,101,회현,050720883814,,37.5570139,126.977707,kxBU_ftweEwytDHV_hgtHQ,Hoehyeon_Cafe,DINING,https://app.catchtable.co.kr/ct/shop/Hoehyeon_Cafe?type=DINING
도우룸 광화문,양식,4.5,767,광화문,027329386,,37.5721535,126.9778819,RIbRmp_EI9XLs1eQvVxjhw,doughroom,DINING,https://app.catchtable.co.kr/ct/shop/doughroom?type=DINING
크라운돼지,"육류,고기요리",4.5,25,신사,01095125701,,37.5185269,127.0204853,31wF-1TsEvXAULHQxX8lDg,crownpig,DINING,https://app.catchtable.co.kr/ct/shop/crownpig?type=DINING
콩두 명동,한식,4.7,680,명동,02-722-7002,저녁 7-13만원,37.5643559,126.9839826,hoaEx4SDjeafarhLsOZu4g,congdu_myeongdong,DINING,https://app.catchtable.co.kr/ct/shop/congdu_myeongdong?type=DINING
급이다른부대찌개,"찌개,전골",4.7,110,대전,050720889899,,36.3748804,127.320331,vdlFcV9pUCtsPyMRfOZxcg,geubidaleunbudaejjigae,WAITING,https://app.catchtable.co.kr/ct/shop/geubidaleunbudaejjigae?type=WAITING
이치에,이자카야,4.6,637,압구정로데오,050702692970,,37.5253741,127.0376944,3Zy6fzfNSdUHpJLWhIrG5g,ichie,DINING,https://app.catchtable.co.kr/ct/shop/ichie?type=DINING
테이블포포,코스요리,4.8,516,한남,050720881556,저녁 25만원,37.5346781,127.0052443,SfJeRjgGLZQ3GchIOiprQQ,tableforfour,DINING,https://app.catchtable.co.kr/ct/shop/tableforfour?type=DINING
코자차 kojacha,퓨전음식,4.7,402,청담,01090237771,저녁 22.5만원,37.5208702,127.055224,qZ8yy4ekxYAfP4c0G5Lb6A,kojacha,DINING,https://app.catchtable.co.kr/ct/shop/kojacha?type=DINING
까델루뽀,이탈리아음식,4.6,37,서촌,050712835475,,37.5818165,126.9714259,g-_4wFDMsy9eShiodQlpiA,CadelLupoJongno,DINING,https://app.catchtable.co.kr/ct/shop/CadelLupoJongno?type=DINING
봉래헌,한정식,4.6,234,김포공항,050700915764,저녁 11-30만원,37.5471992,126.8191229,2TlwSB8gSDMaheve7-vd0w,bongraeheon,DINING,https://app.catchtable.co.kr/ct/shop/bongraeheon?type=DINING
고료리 켄,코스요리,4.8,144,도산공원,050712836133,저녁 25만원,37.5230081,127.0348057,nu5CgGPvtvTj7GWIBYcbiA,goryori_ken,DINING,https://app.catchtable.co.kr/ct/shop/goryori_ken?type=DINING
멘야미코 청담역점,일식,5.0,1,청담,050702694326,,37.5174072,127.0513431,j7sDTRCFfnJ2X1kioUzl0w,menyamiko_cheongdam,DINING,https://app.catchtable.co.kr/ct/shop/menyamiko_cheongdam?type=DINING
무탄 여의도점,중식,4.4,604,여의도,050700917900,,37.5215212,126.9228725,g7dCHMqZxzp_qI-o8hdO3A,mutan_yeouido,DINING,https://app.catchtable.co.kr/ct/shop/mutan_yeouido?type=DINING
파티나(patina),파스타,4.7,1249,북촌,01042192935,,37.5778205,126.9883592,yAFX5nAFkbajh0CsaB6qVA,patina,DINING,https://app.catchtable.co.kr/ct/shop/patina?type=DINING
한국횟집,"회,사시미",4.6,231,중화,050700917691,,37.5970746,127.0762336,BKUdCdyn9rFGfc1olHG1wg,korea_sashimi_house,DINING,https://app.catchtable.co.kr/ct/shop/korea_sashimi_house?type=DINING
남도돼지촌,"육류,고기요리",4.5,284,삼각지,050720886508,,37.531538,126.9723985,8_7LCB4X18DSNCOotFdIXw,namdopig,WAITING,https://app.catchtable.co.kr/ct/shop/namdopig?type=WAITING
은진포차,해물(탕/찜/볶음),3.7,58,영등포,050702690119,,37.5127903,126.8937019,eIyAg2vXXAqEdvyuCGsJAw,eunjinpoca,WAITING,https://app.catchtable.co.kr/ct/shop/eunjinpoca?type=WAITING
지강한식당 압구정본점,한식,4.3,74,압구정,050712835837,,37.5263219,127.0295456,UD4iEd30LTEDkb7Kg8Gpbw,jiganghansikdang_apgujeong,WAITING,https://app.catchtable.co.kr/ct/shop/jiganghansikdang_apgujeong?type=WAITING
진주섬,"회,사시미",4.4,42,여의도,050700913848,,37.5188979,126.9319433,vcD-u_y9sAVY0JwFN9F4PA,pearlisland,DINING,https://app.catchtable.co.kr/ct/shop/pearlisland?type=DINING
보보식당 광화문점,중식,4.3,226,광화문,050718568589,,37.5721535,126.9778819,EkKP-fGeu44np0D4mtiGQg,paopaorestaurant,DINING,https://app.catchtable.co.kr/ct/shop/paopaorestaurant?type=DINING
옥돌현옥,냉면,4.5,108,가락,050702694356,,37.5015212,127.1240817,47Yb5alpxiV2yxDWltzjXg,okdolhyeonok_,WAITING,https://app.catchtable.co.kr/ct/shop/okdolhyeonok_?type=WAITING
오코메,일식,4.4,100,부산 광안리,050714862151,,35.1483154,129.1137813,vQTKrndcx-5DrJnPcCgn5Q,okome,WAITING,https://app.catchtable.co.kr/ct/shop/okome?type=WAITING
미가키,가이세키오마카세,4.9,331,청담,01057413600,저녁 31만원,37.5251906,127.0409524,sN4p1cUVaBPBQebrTBlmDg,migaki,DINING,https://app.catchtable.co.kr/ct/shop/migaki?type=DINING
을지깐깐 원그로브점,아시아음식,3.7,128,마곡,0000,,37.5609223,126.8246494,MDxVlrKoA4LSsZ2B-AsuXA,euljicanhcan_mg,WAITING,https://app.catchtable.co.kr/ct/shop/euljicanhcan_mg?type=WAITING
모노로그,가이세키오마카세,4.8,545,청담,01042287226,저녁 35만원,37.5233218,127.0441055,OtHeF82u5ueYGL9ojnxJQA,monologue,DINING,https://app.catchtable.co.kr/ct/shop/monologue?type=DINING
래빗홀버거 성수,햄버거,5.0,8,성수,024640424,,37.5461358,127.0472014,wRDg9jIHQZ9-zXPukepgeQ,rabbitholeburger_ss,DINING,https://app.catchtable.co.kr/ct/shop/rabbitholeburger_ss?type=DINING
주마등,요리주점,3.9,167,을지로,050702691164,,37.5653486,126.9914005,_816RaF38ojYwtbm2gGTTQ,jumadeung,WAITING,https://app.catchtable.co.kr/ct/shop/jumadeung?type=WAITING
보타르가 비노,이탈리아음식,4.9,171,청담,01046491826,,37.5223586,127.0443156,tMyRIUwbP7Zmk2LBmLd0MA,bottargavino,DINING,https://app.catchtable.co.kr/ct/shop/bottargavino?type=DINING
더 이탈리안 클럽 현대 무역센터점,이탈리아음식,4.5,116,삼성,050700913402,,37.5086329,127.0598879,_BnEVY8ArzKSNlrc9Y6wpQ,italian_club,DINING,https://app.catchtable.co.kr/ct/shop/italian_club?type=DINING
깐깐 스타필드에비뉴그랑서울점,베트남음식,2.0,3,광화문,000000000111,,37.57096,126.9814392,WTW_HKSvFq4gah904mK7yQ,canhcanhgranseoul,WAITING,https://app.catchtable.co.kr/ct/shop/canhcanhgranseoul?type=WAITING
랑빠스81,프랑스음식,4.6,54,연남,050700915900,,37.5602685,126.9251662,ElnvFlymOTTxR-mTIBBwCQ,limpasse81,DINING,https://app.catchtable.co.kr/ct/shop/limpasse81?type=DINING
죠죠 판교아브뉴프랑점,일식,4.8,4,판교,03180396444,,37.3973208,127.1135623,kgSgTQT4zLVMnPDayKFKrQ,jyojyo_pangyo,DINING,https://app.catchtable.co.kr/ct/shop/jyojyo_pangyo?type=DINING
대동옥 을지로 본점,한식,4.4,232,을지로,01071641241,,37.565968,126.9910616,jRDw5Rwz5tk9_TACpr44Ag,eoehddhr,WAITING,https://app.catchtable.co.kr/ct/shop/eoehddhr?type=WAITING
동경밥상 제주점,한식,4.6,375,제주 제주시,050700912749,,33.4853785,126.4080326,sqvMXyY2y2FLv1RG4_GSmA,dgbabsangjj,WAITING,https://app.catchtable.co.kr/ct/shop/dgbabsangjj?type=WAITING
여의주 훠궈관,중식,4.7,162,을지로,01041898210,,37.5657466,126.9910635,1Car4U20bTv84TLlXiAGtw,yeouijuhuoguo,DINING,https://app.catchtable.co.kr/ct/shop/yeouijuhuoguo?type=DINING
어물전 청 한남점,한식,4.6,1248,한남,050700913121,점심 저녁 동일가 8.9만원,37.5377494,127.0049992,dN2HdyoZHiFKpTWY6IpV2A,eomuljeonchunghannam,DINING,https://app.catchtable.co.kr/ct/shop/eomuljeonchunghannam?type=DINING
힙한식,한식,4.6,299,남해,050720886540,,34.7286468,128.0315392,eaIsDM4OUx3QUVzLimDlOA,HiphansikNamhae,WAITING,https://app.catchtable.co.kr/ct/shop/HiphansikNamhae?type=WAITING
만가타,유러피안음식,4.8,880,삼청,050700917851,"점심, 저녁 동일가 7.7만원",37.58019,126.9809915,O5XWnBlWMY7T0mLB-Sjl2g,kdh_mangata,DINING,https://app.catchtable.co.kr/ct/shop/kdh_mangata?type=DINING
무탄 광화문점,중식,4.5,1017,광화문,050718569284,,37.5696647,126.9721401,IN_KONj-bgu6J1oE-3IYSg,mutan_gwanghwamoon,WAITING,https://app.catchtable.co.kr/ct/shop/mutan_gwanghwamoon?type=WAITING
