store_name,store_id,visitor_review_count,blog_review_count,rating,writer,date,visit_type,visit_count
호빈,1755459807,62,199,0,NeverStopExploring,1.11.일,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,junland1,1.12.월,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,dawnNmoon,1.8.목,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,eemat,1.2.금,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,이앵앵,1.2.금,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,kkr****,25.12.31.수,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,Rotterdam,25.12.30.화,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,WON0,25.12.30.화,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,프로필3885,25.12.30.화,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,먹으러떠나는중,25.12.29.월,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,오늘도 배고프다,25.12.29.월,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,맹순이71,25.12.29.월,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,시켜줘마포구보안관,25.12.27.토,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,자 유 자 재,25.12.26.금,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,Rainbow3429,25.12.25.목,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,불량감자7609,25.12.25.목,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,손쫑구,25.12.25.목,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,오뚜커플,25.12.25.목,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,NRSA,25.12.24.수,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,Celys17,25.12.24.수,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,행운군30,25.12.23.화,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,쥐방우리,25.12.23.화,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,jan****,25.12.23.화,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,진파리다,25.12.23.화,점심에 방문,1번째 방문
옥동식,859857359,2577,3350,0,하진이랑빡빡이,25.12.22.월,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,닭도리탕2,25.12.21.일,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,Yulmaeng,25.12.17.수,저녁에 방문,2번째 방문
옥동식,859857359,2577,3350,0,라라랜드4397,25.12.10.수,저녁에 방문,1번째 방문
옥동식,859857359,2577,3350,0,skyLOVE,25.12.9.화,점심에 방문,3번째 방문
오리지널 넘버스,1524329439,24,88,0,드렁큰곰돌,25.12.31.수,점심에 방문,1번째 방문
오리지널 넘버스,1524329439,24,88,0,양태자94,25.12.9.화,저녁에 방문,1번째 방문
수퍼판,36262174,174,408,0,백두에서한라한라에서백두로,25.12.18.목,저녁에 방문,1번째 방문
유용욱바베큐연구소,1385626049,98,359,0,나5201,25.12.12.금,점심에 방문,1번째 방문
조선 팰리스 이타닉 가든,1464664976,219,803,0,쨍이걸,1.9.금,저녁에 방문,1번째 방문
조선 팰리스 이타닉 가든,1464664976,219,803,0,ㅁㄴㅇ2735,1.3.토,점심에 방문,38번째 방문
조선 팰리스 이타닉 가든,1464664976,219,803,0,ㅁㄴㅇ2735,25.12.27.토,저녁에 방문,37번째 방문
조선 팰리스 이타닉 가든,1464664976,219,803,0,TOBEISTODO,25.12.13.토,저녁에 방문,1번째 방문
이목스모크다이닝,1476497628,75,484,0,hae****,25.12.20.토,저녁에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,샛별3572,1.15.목,점심에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,yji****,1.8.목,점심에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,그냥 웃지6,1.8.목,점심에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,와이너프리,1.5.월,점심에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,당산최고의미녀Jeepoo,1.3.토,저녁에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,bonniemouse,1.3.토,점심에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,엘로Drop,25.12.22.월,점심에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,abc613,25.12.19.금,저녁에 방문,1번째 방문
에그앤플라워,1937120968,709,1206,0,Dmstl3,25.12.13.토,점심에 방문,1번째 방문
라망시크레,1282957326,704,1359,0,로이32,1.13.화,점심에 방문,1번째 방문
라망시크레,1282957326,704,1359,0,빵이네tv,1.9.금,점심에 방문,1번째 방문
라망시크레,1282957326,704,1359,0,로사리아1425,25.12.30.화,저녁에 방문,3번째 방문
라망시크레,1282957326,704,1359,0,ㅁㄴㅇ2735,25.12.20.토,점심에 방문,33번째 방문
라망시크레,1282957326,704,1359,0,예쁜언니그대,25.12.12.금,점심에 방문,1번째 방문
라망시크레,1282957326,704,1359,0,jun****,25.12.9.화,아침에 방문,1번째 방문
윤서울,1698341503,61,318,0,JERRYKIM,25.12.20.토,점심에 방문,1번째 방문
독도16도,1709614699,25,122,0,LeadersoneCPA85,25.12.10.수,저녁에 방문,1번째 방문
뜨라또리아샘킴,1227565234,165,362,0,Lalaxianbin,25.12.25.목,저녁에 방문,1번째 방문
뜨라또리아샘킴,1227565234,165,362,0,snds,25.12.22.월,점심에 방문,1번째 방문
오스테리아샘킴,993990809,500,1235,0,와이너프리,1.13.화,저녁에 방문,1번째 방문
오스테리아샘킴,993990809,500,1235,0,JS9318,1.10.토,점심에 방문,1번째 방문
오스테리아샘킴,993990809,500,1235,0,뚜루루4042,1.7.수,저녁에 방문,1번째 방문
오스테리아샘킴,993990809,500,1235,0,밍찌27,1.3.토,저녁에 방문,1번째 방문
오스테리아샘킴,993990809,500,1235,0,두힛두힛츄,25.12.23.화,저녁에 방문,1번째 방문
오스테리아샘킴,993990809,500,1235,0,hyeonAc,25.12.12.금,점심에 방문,1번째 방문
도우룸,37351441,0,827,0,훈828,1.2.금,저녁에 방문,1번째 방문
도우룸,37351441,0,827,0,식단조절중,25.12.28.일,점심에 방문,1번째 방문
도우룸,37351441,0,827,0,깜디아빠,25.12.20.토,점심에 방문,1번째 방문
BISTROT de YOUNTVILLE,13201580,0,2127,0,드렁큰곰돌,1.11.일,저녁에 방문,1번째 방문
BISTROT de YOUNTVILLE,13201580,0,2127,0,상큼콤보,1.8.목,점심에 방문,1번째 방문
BISTROT de YOUNTVILLE,13201580,0,2127,0,유니바기,25.12.27.토,점심에 방문,1번째 방문
BISTROT de YOUNTVILLE,13201580,0,2127,0,까만언니,25.12.17.수,점심에 방문,1번째 방문
BISTROT de YOUNTVILLE,13201580,0,2127,0,자두주스좋아,25.12.12.금,저녁에 방문,1번째 방문
계향각,1009294529,311,382,0,나몰라라86,1.11.일,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,지니소장,1.7.수,저녁에 방문,1번째 방문
계향각,1009294529,311,382,0,리자몽의역습,1.3.토,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,쿠키앤크림마미,1.2.금,저녁에 방문,1번째 방문
계향각,1009294529,311,382,0,mihtatit,25.12.31.수,점심에 방문,3번째 방문
계향각,1009294529,311,382,0,abc6174,25.12.31.수,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,수호천사90,25.12.28.일,저녁에 방문,1번째 방문
계향각,1009294529,311,382,0,cut****,25.12.25.목,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,꾸르맛집탐방가,25.12.21.일,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,민8275,25.12.20.토,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,Djgj,25.12.18.목,저녁에 방문,1번째 방문
계향각,1009294529,311,382,0,한입만3,25.12.18.목,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,Yoooooj1,25.12.17.수,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,라자,25.12.14.일,점심에 방문,1번째 방문
계향각,1009294529,311,382,0,pms****,25.12.13.토,점심에 방문,4번째 방문
드레스덴 그린,1863884392,0,152,0,sj5dn,1.2.금,점심에 방문,1번째 방문
코자차,1777546474,27,94,0,신당동 먹보왕,25.12.19.금,점심에 방문,1번째 방문
