가게명,셰프닉네임,주요판매요리,지역,상세주소,리뷰수,리뷰평점,예약진행여부,평균가격대,셰프명,특징,좌표정보
우동 카덴,정호영,일식/우동,서교,,1,5.0,입점예정,1만원 미만(점심)/1-2만원(저녁),정호영,정호영 셰프 우동 전문,
고미태,최저시급,라멘,합정,,,,,1-2만원,,라멘 전문점/입점예정,
SOIGNE,이준,컨템포러리,신사,강남구 신사동 652,1633,4.8,예약가능,24만원(점심)/38만원(저녁),이준,미슐랭 2스타/Taste of Seoul/미쉐린 가이드 2025,
라망시크레,손종원,컨템포러리,회현,,2707,4.8,예약마감,17만원(점심)/27만원(저녁),손종원,미슐랭 1스타/흑백요리사2,
앰배서더 서울 풀만 호빈,후덕죽,중식,장충동,중구 동호로 287,96,4.7,예약마감,11-40만원,,,미슐랭 1스타,
IMOK Smoke Dining,바베큐연구소장,바비큐,신사,,1488,4.8,예약마감,15-18만원(점심)/15-22만원(저녁),유용욱,예약금 0원/동네의 고수/Taste of Seoul,
유용욱 바베큐 연구소,바베큐연구소장,바비큐,남영,,269,4.8,예약마감,10-15만원(점심)/15만원(저녁),유용욱,예약금 0원/강민경 유튜브,
드레스덴 그린,천생연분,코스요리,청담,,382,4.6,예약가능,17만원(점심)/27만원(저녁),박가람,섬세한 플레이팅/예약금 0원/꽃 주문 서비스,
계향각,중식폭주족,중식,혜화,,925,4.7,예약가능,1-20만원,신계숙,배화여대 교수/예약금 0원/Taste of Seoul,
회현카페,김건,양식,회현,,100,4.5,예약마감,2.1만원(점심),김건,예약금 0원,
루드베키아,이준,브런치,광화문,,150,4.4,예약가능,1-3만원,이준,예약 성공 보장/이준 셰프,
무탄 압구정 본점,선 넘은 짜장,중식,압구정,,422,4.5,예약가능,2-15만원,윤진원,미디어 다수 출연/생방송 오늘저녁,
무탄 여의도점,선 넘은 짜장,중식,여의도,,604,4.4,예약가능,1-15만원,윤진원,압구정 본점 분점,
숯. 더 붓처스 엣지,불타는 호텔맨,다이닝바,여의도,,169,4.4,예약가능,7.5-13.8만원(점심)/19.8만원(저녁),황지훈,자동결제/예약금 0원,
더 이탈리안 클럽,키친 보스,이탈리아음식,잠실,,2525,4.4,예약가능,2-5만원,김호윤,예약금 0원,
더 이탈리안 클럽 현대 무역센터점,키친 보스,이탈리아음식,삼성,,116,4.5,예약가능,1-13만원,김호윤,예약금 0원,
랑빠스81,샤퀴테리 요정,프랑스음식,연남,,54,4.6,예약가능,1-3만원,전지호,자동결제/예약금 0원/미슐랭 가이드 2025/수요미식회,
양출서울,채소 프린스,와인/채소요리,논현,,278,4.8,예약가능,5.5-7.5만원(저녁),송호윤,자동결제/예약금 0원/Taste of Seoul,
불래,8국마스터,컨템포러리,한남,,430,4.7,예약가능,2-10만원,김진래,예약금 0원/8개국 마스터,
차이나룸 온드리안 호텔,카린 보스,중식,종로,,,,,1-13만원,,호텔 중식당,
동남방앗간 한남,요리하는 방송작가,국제요리,한남,,451,4.6,예약가능,2-3만원(특별)/2-5만원(저녁),,국제요리 전문,
코자차 kojacha,,컨템포러리,청담,,402,4.7,예약가능,13.5만원(점심)/22.5만원(저녁),최유강,2022-2024 미슐랭/예약금 0원,
도우룸 서래마을,이준,파스타,서래마을,,1469,4.5,예약가능,2-9만원,이준,미슐랭 가이드 2025/수요미식회/생면 파스타,
면서울,김도윤,한식,압구정로데오,,1216,4.5,예약가능,1-3만원,김도윤,예약금 0원/미슐랭 빕구르망,
뜨라또리아 샘킴,샘킴,이탈리아음식,압구정로데오,,1328,4.6,예약마감,8.5-10.5만원(점심)/14.9-18.9만원(저녁),,자동결제/예약금 0원,
Original Numbers 청담,삐딱한 천재,코스요리,청담,,466,4.8,예약마감,9.8만원(점심)/13만원(저녁),이찬양,흑백요리사2,
스루홀,김빈,일식,성수,,,,예약가능,,,꽃 주문 서비스/미쉐린 1스타,
아이스크림 소사이어티,키친 보스,카페/디저트,반포,,,7,4.4,,,흑백요리사2: 키친 보스,
윤 주당,술빚는 윤주모,한식/전통주,용산 해방촌,,,,,캐치테이블독점,,윤나라,전통주와 한식 페어링,
