name,food,round,is_winner,is_alive,match_type,how_cook,food_category,ingrediant,temperature,back,an,is_back,is_an
그때 명셰프,-,1R,패,탈락,개인전,-,,,,0,0,0,0
김치다이닝,-,1R,패,탈락,개인전,-,,,,0,0,0,0
남해 힙스터,-,1R,패,탈락,개인전,-,,,,0,0,0,0
내장백서,-,1R,패,탈락,개인전,-,,,,0,0,0,0
뉴욕 기사식당,제육볶음 한 상,1R,패,탈락,개인전,볶음,한식,육류,Mix,0,0,1,0
뉴욕에 간 돼지곰탕,돼지곰탕,1R,승,생존,개인전,끓이기,한식,육류,Hot,1,0,1,0
닭발로 16억,닭발,1R,패,탈락,개인전,볶음,한식,육류,Hot,0,0,0,1
디어 그랜마,-,1R,패,탈락,개인전,,,,,0,0,0,0
떡볶이 명인,떡볶이,1R,패,탈락,개인전,끓이기,한식,곡류,Hot,0,0,0,1
라오스홀릭,까오삐약(라오스식 쌀국수),1R,패,탈락,개인전,끓이기,퓨전음식,곡류,Hot,0,0,1,0
마담 샐러드,-,1R,패,탈락,개인전,,,,,0,0,0,0
마스터 갓포,-,1R,패,탈락,개인전,,,,,0,0,0,0
망원시장 히어로,포켓 카츠,1R,패,탈락,개인전,튀김,일식,육류,Hot,0,0,1,0
메이드 인 코리아,도다리 쑥 카르토초,1R,패,탈락,개인전,찜,양식,해산물,Hot,0,0,0,1
못 먹을텐데,-,1R,패,탈락,개인전,,,,,0,0,0,0
무쇠팔,메밀면과 닭육수로 우려낸 쯔유,1R,승,생존,개인전,끓이기,일식,곡류,Cold,0,1,0,1
미스터 사이공,-,1R,패,탈락,개인전,,,,,0,0,0,1
바베큐연구소장,연구소 시그니처 비프립,1R,승,생존,개인전,찜,양식,육류,Hot,1,0,1,0
반찬술사,"되비지 찌개, 더덕나물 등",1R,승,생존,개인전,끓이기,한식,채소류,Hot,0,1,0,1
밥도둑 포차,병어조림,1R,패,탈락,개인전,조림,한식,해산물,Hot,0,0,0,1
버거 챔피언,머쉬룸가든 버거,1R,패,탈락,개인전,구이,양식,채소류,Hot,0,0,1,0
번아웃 요리사,-,1R,패,탈락,개인전,,,,,0,0,0,0
부채도사,동경식 장어덮밥,1R,승,생존,개인전,구이,일식,해산물,Hot,1,0,1,0
불타는 호텔맨,-,1R,패,탈락,개인전,,,,,0,0,0,0
빠다걸,-,1R,패,탈락,개인전,,,,,0,0,0,0
삐딱한 천재,토끼와 토끼 간,1R,승,생존,개인전,볶음,양식,육류,Hot,0,1,0,1
사시미 검객,쥐치와 복어의 비상,1R,패,탈락,개인전,생식,일식,해산물,Cold,0,0,1,0
삼대가 중식,-,1R,패,탈락,개인전,,,,,0,0,0,0
샤퀴테리 요정,-,1R,패,탈락,개인전,,,,,0,0,0,0
서울 엄마,서울 음식 한 상,1R,승,생존,개인전,퓨전,한식,곡류,Mix,1,0,1,0
서촌 황태자,대구로 속을 채운 카넬로니,1R,패,탈락,개인전,퓨전,양식,해산물,Hot,0,0,0,1
선 넘은 짜장,-,1R,패,탈락,개인전,,,,,0,0,0,0
수타킹,-,1R,패,탈락,개인전,,,,,0,0,1,0
술 빚는 윤주모,주모의 한 상,1R,승,생존,개인전,퓨전,한식,육류,Mix,0,1,0,1
쓰리스타 킬러,오징어 먹물 리조또,1R,승,생존,개인전,볶음,양식,해산물,Hot,0,1,0,1
아기 맹수,박주산채,1R,승,생존,개인전,생식,한식,채소류,Cold,1,0,1,0
안녕 봉주르,랍스터 김치 비스크,1R,승,생존,개인전,끓이기,퓨전음식,해산물,Hot,0,1,0,1
앵그리 코리안,-,1R,패,탈락,개인전,,,,,0,0,0,0
어나더 미트볼,-,1R,패,탈락,개인전,,,,,0,0,0,0
연마대왕,-,1R,패,탈락,개인전,,,,,0,0,0,0
영블러드,-,1R,패,탈락,개인전,,,,,0,0,0,0
오른팔 셰프,-,1R,패,탈락,개인전,,,,,0,0,0,0
요리과학자,味•溫•香 -196℃ 사과,1R,패,탈락,개인전,생식,디저트,채소류,Cold,0,0,0,1
요리괴물,트러플을 곁들인 봄나물 죽,1R,승,생존,개인전,끓이기,퓨전음식,곡류,Hot,0,1,0,1
요리하는 방송작가,-,1R,패,탈락,개인전,,,,,0,0,0,0
유행왕,새우 롤 라자냐,1R,승,생존,개인전,퓨전,양식,해산물,Hot,1,0,1,0
을지로 윤차장,-,1R,패,탈락,개인전,,,,,0,0,0,0
인생 소시지,생햄 부대찌개,1R,패,탈락,개인전,끓이기,퓨전음식,가공식품,Hot,0,0,1,0
장어박사,-,1R,패,탈락,개인전,,,,,0,0,0,0
전설의 학식뷔페,오늘의 학식 뷔페,1R,패,탈락,개인전,퓨전,퓨전음식,곡류,Mix,0,0,0,1
줄서는 돈가스,-,1R,패,탈락,개인전,,,,,0,0,1,0
