restaurant,category,rating,location,dinner_price,lat,lon,URL,chief_info,review_count,status_time,price,badge_info
유용욱 바베큐 연구소,바베큐,4.8,남영,저녁 15만원,37.5439572,126.9727818,https://app.catchtable.co.kr/ct/shop/yyw?type=DINING,바베큐연구소장,268,영업중 • 12:00-21:00,점심 저녁 동일가 10 - 15만원 • 저녁 15만원,
IMOK Smoke Dining,바베큐,4.8,신사,저녁 15-22만원,37.5211262,127.0191253,https://app.catchtable.co.kr/ct/shop/imok?type=DINING,바베큐연구소장,"1,488",영업중 • 12:00-21:00,점심 15-18만원 • 저녁 15-22만원,
라망시크레,컨템포러리,4.8,회현,저녁 27만원,37.5596664,126.9795418,https://app.catchtable.co.kr/ct/shop/lamantsecret?type=DINING,손종원,"2,709",영업중 • 12:00-22:00,점심 17만원 • 저녁 27만원,미쉐린 1스타
Original Numbers 청담,코스요리,4.8,청담,저녁 13만원,37.5250958,127.0407378,https://app.catchtable.co.kr/ct/shop/original_numbers?type=DINING,삐딱한 천재,466,영업중 • 12:00-22:00,점심 9.8만원 • 저녁 13만원,
앰배서더 서울 풀만 호빈,중식,4.7,장충동,"점심, 저녁 동일가 11-40만원",37.5605921,127.0020938,https://app.catchtable.co.kr/ct/shop/theambassador_haobin?type=DINING,후덕죽,96,영업중 • 11:30-22:00,"점심, 저녁 동일가 11-40만원",미쉐린 1스타
옥동식,한식,4.5,합정,,37.5526652,126.9145171,https://app.catchtable.co.kr/ct/shop/okdongsik?type=WAITING,뉴욕에 간 돼지곰탕,"3,789",영업중 • 11:00-22:00,점심 저녁 동일가 1 - 2만원,미쉐린 빕구르망
SOIGNE,컨템포러리,4.8,신사,저녁 38만원,37.5196035,127.0190762,https://app.catchtable.co.kr/ct/shop/soigneseoul?type=DINING,이준,"1,632",영업중 • 12:00-22:00,점심 24만원 • 저녁 38만원,미쉐린 2스타
에그앤플라워 해방촌 본점,파스타,4.4,해방촌,,37.5453932,126.9844401,https://app.catchtable.co.kr/ct/shop/eggandflour?type=DINING,김희은,"2,678",영업중 • 12:00-22:00,점심 저녁 동일가 2 - 3만원,미쉐린 빕구르망
수퍼판,퓨전음식,4.6,압구정,저녁 11- 19만원,37.524445,127.0268549,https://app.catchtable.co.kr/ct/shop/superpan?type=DINING,서울 엄마,"1,330",영업중 • 12:00-22:00,점심 5-8만원 • 저녁 11- 19만원,
이타닉 가든,코스요리,4.9,역삼,저녁 37만원,37.5028813,127.0413566,https://app.catchtable.co.kr/ct/shop/eatanicgarden?type=DINING,손종원,"2,652",영업중 • 12:00-22:00,점심 25만원 • 저녁 37만원,미쉐린 1스타
윤주당,요리주점,4.7,해방촌,,37.5453594,126.9859913,https://app.catchtable.co.kr/ct/shop/yunjudang_?type=DINING,술 빚는 윤주모,68,오늘(수) 휴무,점심 영업안함 • 저녁 1 - 4만원,
뜨라또리아 샘킴,이탈리아음식,4.6,압구정로데오,저녁 14.9-18.9만원,37.5238115,127.03769,https://app.catchtable.co.kr/ct/shop/trattoriasamkim?type=DINING,샘킴,"1,330",영업중 • 11:30-22:00,점심 8.5-10.5만원 • 저녁 14.9-18.9만원,
면서울,한식,4.5,압구정로데오,,37.524135,127.038998,https://app.catchtable.co.kr/ct/shop/myeonseoul?type=WAITING,김도윤,"1,218",영업중 • 11:00-20:30,점심 저녁 동일가 1 - 3만원,"미쉐린 빕구르망, 흑백요리사"
오스테리아 샘킴,이탈리아음식,4.4,합정,,37.5513453,126.9109068,https://app.catchtable.co.kr/ct/shop/samkim?type=DINING,샘킴,"1,643",영업중 • 11:30-22:00,점심 저녁 동일가 1 - 7만원,
독도16도,한식,4.9,서촌,저녁1-18만원,37.5794702,126.9685771,https://app.catchtable.co.kr/ct/shop/dokdo.16.celsius?type=DINING,4평 외톨이,274,영업전 • 19:00 영업 시작,점심 영업안함 • 저녁1-18만원,
BISTROT de YOUNTVILLE,프랑스음식,4.7,청담,저녁 13.5 - 16만원,37.5260438,127.0412382,https://app.catchtable.co.kr/ct/shop/yountville?type=DINING,프렌치 파파,"2,891",영업중 • 11:30-22:00,점심 6.5 - 11만원 • 저녁 13.5 - 16만원,미쉐린 가이드 2025
쌤쌤쌤,아메리칸음식,4.2,삼각지,,37.5315768,126.972159,https://app.catchtable.co.kr/ct/shop/samsamsam_kr?type=WAITING,유행왕,"2,708",영업중 • 10:30-22:00,점심 저녁 동일가 1 - 4만원,
독립식당,한식,4.6,종로,"점심, 저녁 동일가 3.5만원",37.5862234,126.969367,https://app.catchtable.co.kr/ct/shop/dokrip_sikdang?type=DINING,4평 외톨이,60,,"점심, 저녁 동일가 3.5만원",
윤서울,한식,4.6,압구정로데오,저녁 24만원,37.524135,127.038998,https://app.catchtable.co.kr/ct/shop/yunseoul?type=DINING,김도윤,827,영업중 • 12:00-22:00,점심 12만원 • 저녁 24만원,"미쉐린 1스타, 흑백요리사"
