날짜,샘킴
2025-12-09,5.19503
2025-12-10,4.76361
2025-12-11,4.06255
2025-12-12,4.20636
2025-12-13,5.41074
2025-12-14,13.75157
2025-12-15,14.25489
2025-12-16,13.10444
2025-12-17,16.64569
2025-12-18,13.12241
2025-12-19,11.52255
2025-12-20,14.11109
2025-12-21,14.29085
2025-12-22,11.03721
2025-12-23,19.64767
2025-12-24,38.64821
2025-12-25,51.15944
2025-12-26,31.45784
2025-12-27,31.76343
2025-12-28,34.01042
2025-12-29,24.57307
2025-12-30,63.22128
2025-12-31,100.0
2026-01-01,93.36688
2026-01-02,51.89645
2026-01-03,79.90293
2026-01-04,77.8357
2026-01-05,48.67877
2026-01-06,40.17616
2026-01-07,33.16555
2026-01-08,30.27143
2026-01-09,24.48319
2026-01-10,26.99982
2026-01-11,32.03307
2026-01-12,22.8294
2026-01-13,25.63365
2026-01-14,24.06974
