날짜,선재스님
2025-12-09,2.35444
2025-12-10,2.28298
2025-12-11,2.25665
2025-12-12,2.13254
2025-12-13,5.79208
2025-12-14,4.54716
2025-12-15,3.91906
2025-12-16,29.25379
2025-12-17,79.26132
2025-12-18,86.15164
2025-12-19,65.49947
2025-12-20,67.78621
2025-12-21,63.28418
2025-12-22,39.42756
2025-12-23,57.6952
2025-12-24,61.55408
2025-12-25,66.12757
2025-12-26,42.66962
2025-12-27,42.26342
2025-12-28,37.19723
2025-12-29,22.544
2025-12-30,54.59229
2025-12-31,96.06589
2026-01-01,100.0
2026-01-02,58.83105
2026-01-03,60.00075
2026-01-04,55.63035
2026-01-05,36.30961
2026-01-06,75.50774
2026-01-07,78.731
2026-01-08,54.64871
2026-01-09,46.84444
2026-01-10,87.97201
2026-01-11,67.23709
2026-01-12,34.1545
2026-01-13,36.99037
2026-01-14,41.67293
