날짜,요리괴물
2025-12-09,0.33561
2025-12-10,0.29128
2025-12-11,0.26595
2025-12-12,0.47492
2025-12-13,1.36144
2025-12-14,0.64589
2025-12-15,0.50658
2025-12-16,6.19934
2025-12-17,8.37132
2025-12-18,7.50379
2025-12-19,6.11068
2025-12-20,6.67426
2025-12-21,5.11651
2025-12-22,3.9387
2025-12-23,11.48682
2025-12-24,28.14716
2025-12-25,26.07016
2025-12-26,17.34422
2025-12-27,12.77228
2025-12-28,15.83713
2025-12-29,11.4425
2025-12-30,41.38804
2025-12-31,87.11372
2026-01-01,60.19503
2026-01-02,38.55749
2026-01-03,29.55927
2026-01-04,25.18996
2026-01-05,19.28824
2026-01-06,59.92274
2026-01-07,67.32522
2026-01-08,31.88323
2026-01-09,25.10131
2026-01-10,21.55521
2026-01-11,19.09194
2026-01-12,13.15856
2026-01-13,98.87284
2026-01-14,100.0
