restaurant,reviewer,review_date,reviewer_rating,day_night
유용욱 바베큐 연구소,케미칼,2026.01.13,5.0,저녁
유용욱 바베큐 연구소,오니여리,2026.01.12,5.0,점심
유용욱 바베큐 연구소,남다른 미식가_15345,2026.01.09,5.0,저녁
유용욱 바베큐 연구소,따뜻한 개척가_58539,2026.01.08,5.0,저녁
유용욱 바베큐 연구소,sopring,2026.01.08,5.0,저녁
유용욱 바베큐 연구소,배종규,2026.01.08,5.0,저녁
유용욱 바베큐 연구소,하근홍,2026.01.08,4.5,저녁
유용욱 바베큐 연구소,현서당,2026.01.06,5.0,저녁
유용욱 바베큐 연구소,아름다운 미식가_78024,2026.01.03,4.0,점심
유용욱 바베큐 연구소,ㅡ림림ㅡ,2025.12.31,5.0,저녁
유용욱 바베큐 연구소,JHazelS,2025.12.30,5.0,점심
유용욱 바베큐 연구소,Unknown,Unknown,Unknown,Unknown
유용욱 바베큐 연구소,영구,2025.12.27,4.5,점심
유용욱 바베큐 연구소,반짝이는보석처럼,2025.12.25,5.0,저녁
유용욱 바베큐 연구소,활기찬 식객_41461,2025.12.23,5.0,저녁
유용욱 바베큐 연구소,한지화,2025.12.22,5.0,점심
유용욱 바베큐 연구소,Halah,2025.12.20,5.0,저녁
유용욱 바베큐 연구소,흥미로운 셀럽_29903,2025.12.19,5.0,점심
유용욱 바베큐 연구소,울망곰,2025.12.15,5.0,점심
유용욱 바베큐 연구소,정직한 마스터_83485,2025.12.15,5.0,저녁
유용욱 바베큐 연구소,위트있는 식객_3991,2025.12.15,5.0,점심
유용욱 바베큐 연구소,나옥선,2025.12.11,4.5,저녁
유용욱 바베큐 연구소,위트있는 식도락가_66639,2025.12.11,5.0,점심
유용욱 바베큐 연구소,nanbo1,2025.12.09,5.0,점심
IMOK Smoke Dining,손쟈제리,2026.01.13,5.0,저녁
IMOK Smoke Dining,상정태,2026.01.13,5.0,저녁
IMOK Smoke Dining,무민경,2026.01.13,5.0,점심
IMOK Smoke Dining,Mogan,2026.01.13,4.8,점심
IMOK Smoke Dining,복싱하는아랍두부,2026.01.12,5.0,점심
IMOK Smoke Dining,새로운 미식가_45989,2026.01.12,5.0,저녁
IMOK Smoke Dining,맛집으로이어진,2026.01.12,5.0,점심
IMOK Smoke Dining,원태영,2026.01.12,4.5,저녁
IMOK Smoke Dining,0해리,2026.01.12,5.0,점심
IMOK Smoke Dining,활기찬 셀럽_77255,2026.01.12,5.0,점심
IMOK Smoke Dining,호기심 많은 미식가_79511,2026.01.11,5.0,점심
IMOK Smoke Dining,원의독백,2026.01.11,5.0,점심
IMOK Smoke Dining,Unknown,Unknown,Unknown,Unknown
IMOK Smoke Dining,씩씩한 개척가_36669,2026.01.11,2.5,점심
IMOK Smoke Dining,숯불사랑,2026.01.10,3.5,점심
IMOK Smoke Dining,맛집찾기삼매경,2026.01.10,5.0,저녁
IMOK Smoke Dining,wisejoo,2026.01.10,5.0,저녁
IMOK Smoke Dining,서빌조쉪,2026.01.10,5.0,저녁
IMOK Smoke Dining,stella4536,2026.01.10,5.0,점심
IMOK Smoke Dining,따뜻한 개척가_59753,2026.01.10,5.0,점심
IMOK Smoke Dining,즐거운 미식가_56447,2026.01.10,5.0,점심
IMOK Smoke Dining,먹뚜루맛뚜루,2026.01.10,5.0,점심
IMOK Smoke Dining,파란하늘구름살짝,2026.01.10,5.0,저녁
IMOK Smoke Dining,Hi_ImBear,2026.01.09,5.0,저녁
IMOK Smoke Dining,최고의 개척가_51072,2026.01.09,5.0,점심
IMOK Smoke Dining,흥미로운 셀럽_22581,2026.01.09,5.0,저녁
IMOK Smoke Dining,곽두팔씨야,2026.01.09,5.0,점심
IMOK Smoke Dining,룰루랄라 1226,2026.01.09,5.0,점심
IMOK Smoke Dining,여유로운 식도락가_48715,2026.01.09,5.0,저녁
IMOK Smoke Dining,mr_sssun,2026.01.09,5.0,점심
IMOK Smoke Dining,code name J,2026.01.09,5.0,저녁
IMOK Smoke Dining,리오넬팡시,2026.01.09,4.5,점심
IMOK Smoke Dining,NoAlx,2026.01.08,5.0,저녁
IMOK Smoke Dining,재미있는 마스터_90904,2026.01.08,4.8,점심
IMOK Smoke Dining,beric,2026.01.08,5.0,점심
IMOK Smoke Dining,미식의왕,2026.01.07,4.0,저녁
IMOK Smoke Dining,가을이7010,2026.01.07,5.0,저녁
