회차 (PK),공개일,분량,라운드,진행 내용 (줄거리),결과 (Result),탈락자 (Eliminated)
1,2025.12.16,69분,1R,흑수저 80인 경쟁 및 반전 공개,흑수저 결정전 시작,
2,2025.12.16,82분,1R,"서울 음식, 육수 대결 및 평가",,
3,2025.12.16,81분,1R,추가 생존자 선정 및 식재료 미션,흑수저 20인 선발 완료,
4,2025.12.23,94분,2R,까다로운 식재료 1vs1 대결,,
5,2025.12.23,79분,2R,블라인드 심사 및 승패 결정,3R 진출자 확정,아기맹수
6,2025.12.23,66분,3R,흑백 팀전 (승자 독식),팀 대항전 시작,
7,2025.12.23,96분,3R,팀워크 대결 및 역전 승부 결과,승리 팀 전원 생존,
8,2025.12.30,73분,4-1R,흑백 연합전 (시그니처 요리),,
9,2025.12.30,83분,4-1R,파트너 시너지 및 변수 발생,4-1R 생존자 확정,
10,2025.12.30,76분,4-2R,1vs1 사생전 (패자부활/진출전),세미파이널 진출자 확정,"샘 킴, 손종원"
11,2026.01.06,85분,5-2R,무한 요리 지옥 (팬트리),파이널 1인 선발전,
12,2026.01.06,74분,5-1R,한 가지 재료 반복 요리 대결,파이널 진출 2인 확정,"선재스님, 임성근, 정호영, 후덕죽, 술 빚는 윤주모"
13,2026.01.13,62분,6R,"최후의 2인, 인생을 담은 요리",최종 우승: 최강록,준우승: 이하성 (요리괴물)
