식당명,카테고리,평점,리뷰수,지역,전화번호,저녁가격,위도,경도
고미태,일식당/라멘,4.5,326,서울 마포구 합정동 (월드컵로 41 1층),010-4876-8432,10000,37.5530,126.9119
카덴,이자카야/일식,4.4,정보없음,서울 서대문구 연희동 (연희로 173 1층),02-3142-6362,28000,37.5696,126.9278
떡산,떡볶이/분식,4.5,정보없음,서울 은평구 불광동 (연서로 247-1),0507-1479-4321,3500,37.6190,126.9284
떡산 롯데백화점잠실점,떡볶이/분식,정보없음,정보없음,서울 송파구 잠실동 롯데백화점 잠실점 B1,02-900-8592,3500,37.5131,127.1025
천상현의 천상,중식,4.5,정보없음,서울 서초구 양재동 (매헌로 16),02-정보없음,15000,37.4834,127.0337
떡산 안국,떡볶이/분식,정보없음,정보없음,서울 종로구 재동 (북촌로 14),0507-1309-1014,6000,37.5794,126.9851
아선재,한정식,4.3,정보없음,서울 강남구 대치동 (영동대로 333 지하1층),0507-1323-1114,120000,37.5062,127.0630
우동 카덴,우동/일식,4.4,정보없음,서울 서대문구 연희동 (연희로 173 1층),02-337-6360,9000,37.5696,126.9278
소울 SOUL,컨템퍼러리/한식,미슐랭1스타,정보없음,서울 용산구 해방촌 (신흥로26길 35 지하1층),정보없음,250000,37.5442,126.9880
몽도 (Mòndo),이탈리안,정보없음,정보없음,서울 서초구 잠원동 (나루터로10길 29),0507-1446-8016,30000,37.5144,127.0115
