식당명,카테고리,평점,리뷰수,지역,전화번호,저녁가격,위도,경도,URL_Alias,서비스유형,상세페이지_URL,name,chief_info,rating,review_count,location_category,status_time,price,badge_info
유용욱 바베큐 연구소,바베큐,4.8,268,남영,1039934729,저녁 15만원,37.5439572,126.9727818,yyw,DINING,https://app.catchtable.co.kr/ct/shop/yyw?type=DINING,유용욱 바베큐 연구소,흑백요리사2: 바베큐연구소장,4.8,-268,남영 · 바베큐,영업중 • 12:00-21:00,점심 저녁 동일가 10 - 15만원 • 저녁 15만원,"흑백요리사2: 바베큐연구소장, 흑백요리사2, 강민경 유튜브"
IMOK Smoke Dining,바베큐,4.8,1488,신사,1039934729,저녁 15-22만원,37.5211262,127.0191253,imok,DINING,https://app.catchtable.co.kr/ct/shop/imok?type=DINING,IMOK Smoke Dining,흑백요리사2: 바베큐연구소장,4.8,"-1,488",신사 · 바베큐,영업중 • 12:00-21:00,점심 15-18만원 • 저녁 15-22만원,"흑백요리사2: 바베큐연구소장, 동네의 고수, Taste of Seoul, 흑백요리사2"
라망시크레,컨템포러리,4.8,2709,회현,50712835380,저녁 27만원,37.5596664,126.9795418,lamantsecret,DINING,https://app.catchtable.co.kr/ct/shop/lamantsecret?type=DINING,라망시크레,흑백요리사2: 손종원,4.8,"-2,709",회현 · 컨템포러리,영업중 • 12:00-22:00,점심 17만원 • 저녁 27만원,"흑백요리사2: 손종원, 미쉐린 1스타, 흑백요리사2"
Original Numbers 청담,코스요리,4.8,468,청담,50720889255,저녁 13만원,37.5250958,127.0407378,original_numbers,DINING,https://app.catchtable.co.kr/ct/shop/original_numbers?type=DINING,Original Numbers 청담,흑백요리사2: 삐딱한 천재,4.8,-466,청담 · 코스요리,영업중 • 12:00-22:00,점심 9.8만원 • 저녁 13만원,"흑백요리사2: 삐딱한 천재, 흑백요리사2"
앰배서더 서울 풀만 호빈,중식,4.7,96,장충동,50712835474,"점심, 저녁 동일가 11-40만원",37.5605921,127.0020938,theambassador_haobin,DINING,https://app.catchtable.co.kr/ct/shop/theambassador_haobin?type=DINING,앰배서더 서울 풀만 호빈,흑백요리사2: 후덕죽,4.7,-96,장충동 · 중식,영업중 • 11:30-22:00,"점심, 저녁 동일가 11-40만원","흑백요리사2: 후덕죽, 미쉐린 1스타, 흑백요리사2"
옥동식,한식,4.5,3791,합정,10,,37.5526652,126.9145171,okdongsik,WAITING,https://app.catchtable.co.kr/ct/shop/okdongsik?type=WAITING,옥동식,흑백요리사2: 뉴욕에 간 돼지곰탕,4.5,"-3,789",합정 · 한식,영업중 • 11:00-22:00,점심 저녁 동일가 1 - 2만원,"흑백요리사2: 뉴욕에 간 돼지곰탕, 미쉐린 빕구르망"
SOIGNE,컨템포러리,4.8,1633,신사,50700916128,저녁 38만원,37.5196035,127.0190762,soigneseoul,DINING,https://app.catchtable.co.kr/ct/shop/soigneseoul?type=DINING,SOIGNE,흑백요리사2: 이준,4.8,"-1,632",신사 · 컨템포러리,영업중 • 12:00-22:00,점심 24만원 • 저녁 38만원,"흑백요리사2: 이준, Taste of Seoul, 미쉐린 2스타, 흑백요리사2"
에그앤플라워 해방촌 본점,파스타,4.4,2680,해방촌,50712836224,,37.5453932,126.9844401,eggandflour,DINING,https://app.catchtable.co.kr/ct/shop/eggandflour?type=DINING,에그앤플라워 해방촌 본점,흑백요리사2: 김희은,4.4,"-2,678",해방촌 · 파스타,영업중 • 12:00-22:00,점심 저녁 동일가 2 - 3만원,"흑백요리사2: 김희은, 꽃 주문 서비스, 미쉐린 빕구르망, 흑백요리사2"
수퍼판,퓨전음식,4.6,1331,압구정,50700915556,저녁 11- 19만원,37.524445,127.0268549,superpan,DINING,https://app.catchtable.co.kr/ct/shop/superpan?type=DINING,수퍼판,흑백요리사2: 서울 엄마,4.6,"-1,330",압구정 · 퓨전음식,영업중 • 12:00-22:00,점심 5-8만원 • 저녁 11- 19만원,"흑백요리사2: 서울 엄마, 전지적 참견 시점"
이타닉 가든,코스요리,4.9,2653,역삼,50700917037,저녁 37만원,37.5028813,127.0413566,eatanicgarden,DINING,https://app.catchtable.co.kr/ct/shop/eatanicgarden?type=DINING,이타닉 가든,흑백요리사2: 손종원,4.9,"-2,652",역삼 · 코스요리,영업중 • 12:00-22:00,점심 25만원 • 저녁 37만원,"흑백요리사2: 손종원, Taste of Seoul, 미쉐린 1스타, 흑백요리사2"
윤주당,요리주점,4.7,68,해방촌,50702692929,,37.5453594,126.9859913,yunjudang_,DINING,https://app.catchtable.co.kr/ct/shop/yunjudang_?type=DINING,윤주당,흑백요리사2: 술 빚는 윤주모,4.7,-68,해방촌 · 요리주점,오늘(수) 휴무,점심 영업안함 • 저녁 1 - 4만원,"흑백요리사2: 술 빚는 윤주모, 흑백요리사2"
뜨라또리아 샘킴,이탈리아음식,4.6,1330,압구정로데오,50700916335,저녁 14.9-18.9만원,37.5238115,127.03769,trattoriasamkim,DINING,https://app.catchtable.co.kr/ct/shop/trattoriasamkim?type=DINING,뜨라또리아 샘킴,흑백요리사2: 샘킴,4.6,"-1,330",압구정로데오 · 이탈리아음식,영업중 • 11:30-22:00,점심 8.5-10.5만원 • 저녁 14.9-18.9만원,"흑백요리사2: 샘킴, 흑백요리사2"
면서울,한식,4.5,1220,압구정로데오,50700918131,,37.524135,127.038998,myeonseoul,WAITING,https://app.catchtable.co.kr/ct/shop/myeonseoul?type=WAITING,면서울,흑백요리사2: 김도윤,4.5,"-1,218",압구정로데오 · 한식,영업중 • 11:00-20:30,점심 저녁 동일가 1 - 3만원,"흑백요리사2: 김도윤, 미쉐린 빕구르망, 흑백요리사2, 흑백요리사"
오스테리아 샘킴,이탈리아음식,4.4,1644,합정,50700915035,,37.5513453,126.9109068,samkim,DINING,https://app.catchtable.co.kr/ct/shop/samkim?type=DINING,오스테리아 샘킴,흑백요리사2: 샘킴,4.4,"-1,643",합정 · 이탈리아음식,영업중 • 11:30-22:00,점심 저녁 동일가 1 - 7만원,"흑백요리사2: 샘킴, 흑백요리사2"
독도16도,한식,4.9,274,서촌,50700918979,저녁1-18만원,37.5794702,126.9685771,dokdo.16.celsius,DINING,https://app.catchtable.co.kr/ct/shop/dokdo.16.celsius?type=DINING,독도16도,흑백요리사2: 4평 외톨이,4.9,-274,서촌 · 한식,영업전 • 19:00 영업 시작,점심 영업안함 • 저녁1-18만원,흑백요리사2: 4평 외톨이
