날짜,후덕죽
2025-12-09,0
2025-12-10,0
2025-12-11,0
2025-12-12,0
2025-12-13,4
2025-12-14,3
2025-12-15,3
2025-12-16,2
2025-12-17,6
2025-12-18,3
2025-12-19,4
2025-12-20,5
2025-12-21,5
2025-12-22,4
2025-12-23,29
2025-12-24,60
2025-12-25,42
2025-12-26,46
2025-12-27,37
2025-12-28,26
2025-12-29,22
2025-12-30,45
2025-12-31,58
2026-01-01,51
2026-01-02,41
2026-01-03,36
2026-01-04,27
2026-01-05,24
2026-01-06,77
2026-01-07,100
2026-01-08,67
2026-01-09,52
2026-01-10,49
2026-01-11,39
2026-01-12,27
2026-01-13,27
2026-01-14,27
2026-01-15,22
