날짜,임성근
2025-12-09,0.24143
2025-12-10,0.19006
2025-12-11,0.0976
2025-12-12,0.10273
2025-12-13,0.98628
2025-12-14,0.66265
2025-12-15,0.38013
2025-12-16,1.23285
2025-12-17,1.30477
2025-12-18,1.29449
2025-12-19,0.99142
2025-12-20,1.00683
2025-12-21,0.99655
2025-12-22,0.44691
2025-12-23,7.28925
2025-12-24,26.14167
2025-12-25,33.88811
2025-12-26,23.35233
2025-12-27,24.89854
2025-12-28,21.85236
2025-12-29,19.69486
2025-12-30,70.72481
2025-12-31,100.0
2026-01-01,92.13027
2026-01-02,77.40792
2026-01-03,73.65798
2026-01-04,68.33102
2026-01-05,57.3997
2026-01-06,78.0603
2026-01-07,71.39261
2026-01-08,51.31761
2026-01-09,40.47875
2026-01-10,43.01638
2026-01-11,43.76123
2026-01-12,29.81455
2026-01-13,29.92756
2026-01-14,75.54836
