날짜,아기맹수_datalab,아기맹수_google,아기맹수_youtube,최강록_datalab,최강록_google,최강록_youtube,후덕죽_datalab,후덕죽_google,후덕죽_youtube,임성근_datalab,임성근_google,임성근_youtube,정호영_datalab,정호영_google,정호영_youtube,샘킴_datalab,샘킴_google,샘킴_youtube,선재스님_datalab,선재스님_google,선재스님_youtube,손종원_datalab,손종원_google,손종원_youtube,윤준모_datalab,윤준모_google,윤준모_youtube,요리괴물_datalab,요리괴물_google,요리괴물_youtube
2025-12-09,1.97237,0,0,0.73273,0,1,1.5358,0,0,0.24143,0,0,3.33729,0,24,5.19503,0,8,2.35444,0,0,5.19027,7,10,0.32261,0,0,0.33561,0,0
2025-12-10,1.94689,0,0,0.70996,0,1,1.5214,0,0,0.19006,0,0,3.87173,0,22,4.76361,0,8,2.28298,0,0,5.56588,6,10,0.3432,0,0,0.29128,0,0
2025-12-11,1.70735,0,0,0.67439,0,1,1.39662,0,0,0.0976,0,0,3.75296,0,18,4.06255,0,9,2.25665,0,0,5.62279,6,9,0.39811,0,0,0.26595,0,0
2025-12-12,1.59522,0,0,0.66016,0,1,1.21424,0,0,0.10273,0,0,4.08551,0,17,4.20636,0,0,2.13254,0,0,6.36643,6,10,0.35693,0,0,0.47492,0,0
2025-12-13,1.78889,0,0,1.02155,0,1,2.93722,11,4,0.98628,0,1,3.11163,0,22,5.41074,0,0,5.79208,0,10,7.48947,0,10,0.28142,0,0,1.36144,0,0
2025-12-14,1.95708,0,0,1.08558,0,1,2.87003,0,3,0.66265,0,0,7.13776,0,27,13.75157,0,10,4.54716,0,5,11.99681,11,12,0.22308,0,0,0.64589,0,0
2025-12-15,2.48203,0,0,1.05997,0,1,3.0572,0,3,0.38013,0,0,6.67458,27,28,14.25489,0,0,3.91906,0,0,11.06347,8,11,0.25054,0,0,0.50658,0,0
2025-12-16,31.48157,215,8,7.78829,10,6,10.80341,21,2,1.23285,0,0,7.18527,0,35,13.10444,0,0,29.25379,64,16,19.89604,22,25,26.15574,0,6,6.19934,0,0
2025-12-17,100.0,266,41,13.7668,15,14,13.52946,19,6,1.30477,0,0,9.21615,0,31,16.64569,0,10,79.26132,71,94,48.96991,48,63,44.42804,28,22,8.37132,10,7
2025-12-18,80.17939,173,42,11.30113,9,11,9.10923,14,3,1.29449,0,0,10.8551,20,33,13.12241,0,18,86.15164,59,100,51.32602,50,94,30.74441,0,26,7.50379,8,6
