날짜,출연자,소스,값
2025-12-09,샘킴,datalab,5.19503
2025-12-09,샘킴,google,0.0
2025-12-09,샘킴,youtube,8.0
2025-12-09,선재스님,datalab,2.35444
2025-12-09,선재스님,google,0.0
2025-12-09,선재스님,youtube,0.0
2025-12-09,손종원,datalab,5.19027
2025-12-09,손종원,google,7.0
2025-12-09,손종원,youtube,10.0
2025-12-09,아기맹수,datalab,1.97237
2025-12-09,아기맹수,google,0.0
2025-12-09,아기맹수,youtube,0.0
2025-12-09,요리괴물,datalab,0.33561
2025-12-09,요리괴물,google,0.0
2025-12-09,요리괴물,youtube,0.0
2025-12-09,윤준모,datalab,0.32261
2025-12-09,윤준모,google,0.0
2025-12-09,윤준모,youtube,0.0
2025-12-09,임성근,datalab,0.24143
2025-12-09,임성근,google,0.0
2025-12-09,임성근,youtube,0.0
2025-12-09,정호영,datalab,3.33729
2025-12-09,정호영,google,0.0
2025-12-09,정호영,youtube,24.0
2025-12-09,최강록,datalab,0.73273
2025-12-09,최강록,google,0.0
2025-12-09,최강록,youtube,1.0
2025-12-09,후덕죽,datalab,1.5358
2025-12-09,후덕죽,google,0.0
2025-12-09,후덕죽,youtube,0.0
2025-12-10,샘킴,datalab,4.76361
2025-12-10,샘킴,google,0.0
2025-12-10,샘킴,youtube,8.0
2025-12-10,선재스님,datalab,2.28298
2025-12-10,선재스님,google,0.0
2025-12-10,선재스님,youtube,0.0
2025-12-10,손종원,datalab,5.56588
2025-12-10,손종원,google,6.0
2025-12-10,손종원,youtube,10.0
2025-12-10,아기맹수,datalab,1.94689
2025-12-10,아기맹수,google,0.0
2025-12-10,아기맹수,youtube,0.0
2025-12-10,요리괴물,datalab,0.29128
2025-12-10,요리괴물,google,0.0
2025-12-10,요리괴물,youtube,0.0
2025-12-10,윤준모,datalab,0.3432
2025-12-10,윤준모,google,0.0
2025-12-10,윤준모,youtube,0.0
2025-12-10,임성근,datalab,0.19006
2025-12-10,임성근,google,0.0
2025-12-10,임성근,youtube,0.0
2025-12-10,정호영,datalab,3.87173
2025-12-10,정호영,google,0.0
2025-12-10,정호영,youtube,22.0
2025-12-10,최강록,datalab,0.70996
2025-12-10,최강록,google,0.0
2025-12-10,최강록,youtube,1.0
2025-12-10,후덕죽,datalab,1.5214
2025-12-10,후덕죽,google,0.0
2025-12-10,후덕죽,youtube,0.0
2025-12-11,샘킴,datalab,4.06255
2025-12-11,샘킴,google,0.0
2025-12-11,샘킴,youtube,9.0
2025-12-11,선재스님,datalab,2.25665
2025-12-11,선재스님,google,0.0
2025-12-11,선재스님,youtube,0.0
2025-12-11,손종원,datalab,5.62279
2025-12-11,손종원,google,6.0
2025-12-11,손종원,youtube,9.0
2025-12-11,아기맹수,datalab,1.70735
2025-12-11,아기맹수,google,0.0
2025-12-11,아기맹수,youtube,0.0
2025-12-11,요리괴물,datalab,0.26595
2025-12-11,요리괴물,google,0.0
2025-12-11,요리괴물,youtube,0.0
2025-12-11,윤준모,datalab,0.39811
2025-12-11,윤준모,google,0.0
2025-12-11,윤준모,youtube,0.0
2025-12-11,임성근,datalab,0.0976
2025-12-11,임성근,google,0.0
2025-12-11,임성근,youtube,0.0
2025-12-11,정호영,datalab,3.75296
2025-12-11,정호영,google,0.0
2025-12-11,정호영,youtube,18.0
2025-12-11,최강록,datalab,0.67439
2025-12-11,최강록,google,0.0
2025-12-11,최강록,youtube,1.0
2025-12-11,후덕죽,datalab,1.39662
2025-12-11,후덕죽,google,0.0
2025-12-11,후덕죽,youtube,0.0
2025-12-12,샘킴,datalab,4.20636
2025-12-12,샘킴,google,0.0
2025-12-12,샘킴,youtube,0.0
2025-12-12,선재스님,datalab,2.13254
2025-12-12,선재스님,google,0.0
2025-12-12,선재스님,youtube,0.0
2025-12-12,손종원,datalab,6.36643
2025-12-12,손종원,google,6.0
2025-12-12,손종원,youtube,10.0
2025-12-12,아기맹수,datalab,1.59522
2025-12-12,아기맹수,google,0.0
2025-12-12,아기맹수,youtube,0.0
