날짜,샘킴
2025-12-09,8
2025-12-10,8
2025-12-11,9
2025-12-12,0
2025-12-13,0
2025-12-14,10
2025-12-15,0
2025-12-16,0
2025-12-17,10
2025-12-18,18
2025-12-19,20
2025-12-20,19
2025-12-21,16
2025-12-22,17
2025-12-23,27
2025-12-24,48
2025-12-25,36
2025-12-26,43
2025-12-27,28
2025-12-28,38
2025-12-29,49
2025-12-30,81
2025-12-31,100
2026-01-01,96
2026-01-02,93
2026-01-03,100
2026-01-04,79
2026-01-05,69
2026-01-06,55
2026-01-07,60
2026-01-08,51
2026-01-09,37
2026-01-10,38
2026-01-11,35
2026-01-12,29
2026-01-13,27
2026-01-14,35
2026-01-15,35
