날짜,손종원
2025-12-09,5.19027
2025-12-10,5.56588
2025-12-11,5.62279
2025-12-12,6.36643
2025-12-13,7.48947
2025-12-14,11.99681
2025-12-15,11.06347
2025-12-16,19.89604
2025-12-17,48.96991
2025-12-18,51.32602
2025-12-19,50.03604
2025-12-20,58.07185
2025-12-21,61.42201
2025-12-22,50.05501
2025-12-23,47.00459
2025-12-24,68.86216
2025-12-25,91.59236
2025-12-26,70.1142
2025-12-27,68.04264
2025-12-28,69.05945
2025-12-29,62.13909
2025-12-30,74.79227
2025-12-31,100.0
2026-01-01,91.60754
2026-01-02,57.57104
2026-01-03,57.9125
2026-01-04,54.39541
2026-01-05,41.88261
2026-01-06,71.91258
2026-01-07,57.49895
2026-01-08,49.9298
2026-01-09,42.16716
2026-01-10,36.93895
2026-01-11,34.57904
2026-01-12,25.05596
2026-01-13,31.84353
2026-01-14,32.27226
